Index,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
15938,150,ACTIVE,VIP,CLASSIC,2014,GREEN,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616,,,150Pedicab
15995,92,INACTIVE,MANMADE,NONE,2012,ORANGE,Pedal,N,CITY OF CHICAGO BACP,,,,,,,92Pedicab
16033,166,ACTIVE,MANMADE,CLASSIC,2018,BLACK,Pedal,N,CHICAGO GREEN BIKE LLC,1919 S. MICHIGAN AVE.,CHICAGO,IL,60616,,,166Pedicab
16048,194,INACTIVE,MAINSTREET,BOARDWALK,2005,BLACK,Pedal,N,CITY OF CHICAGO BACP,,,,,,,194Pedicab
16140,29,ACTIVE,PRECISION,6 SEATER,2016,RED,Pedal,N,PHILIP ANDREW SADLER,2001 N. ELSTON AVE.,CHICAGO,IL,60614,,,29Pedicab
16143,42,ACTIVE,PRECISION,6 SEATER,2020,FUSCIA,Pedal,N,JBL PEDICAB MANAGEMENT LLC,1627 N. TRIPP AVE.,CHICAGO,IL,60639,,,42Pedicab
16151,52,ACTIVE,SCHWINN,NONE,2014,GREEN,Pedal,N,BM PEDICAB INC.,4450 N. KEDZIE AVE.,CHICAGO,IL,60625,,,52Pedicab
16216,70,VIOLATION,MAINSTREET,CLASSIC,0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606,,,70Pedicab
16229,57,VIOLATION,MAINSTREET,BOARDWALK,2011,RED,Pedal,N,CARGILL C KELLY II,2428 W. 24TH PL.,CHICAGO,IL,60608,,,57Pedicab
16281,117,ACTIVE,SCHWINN,NONE,2014,GREEN,Pedal,N,BM PEDICAB INC.,4450 N. KEDZIE AVE.,CHICAGO,IL,60625,,,117Pedicab
